id,name,price,description,brand,rating,ratings,stock,category,picture
1142315,Razer Chroma trådløs Ladeplate 10W RGB,899,Stilig og allsidig trådløs lader,Razer,"{'source': '4.0', 'parsedValue': 4}",4,2,charging accessorie,1142315_1142315_4_900x900_t_g.webp
3479184,"Samsung 10 000 mAh powerbank (25 W), bundle",579,Lader opptil tre enheter samtidig,Samsung,"{'source': '4.0', 'parsedValue': 4}",13,616,charging accessorie,3479184_3479184_7_1200x1200_t_g.webp
2453290,"Samsung EB-P3400 powerbank 10000 mAh 25W SFC + PD 3.0, beige",449,Lad enheten raskt med 25 W hurtiglading,Samsung,3.6176,34,0,charging accessorie,2453290_2453290_5_1200x1200_t_g.webp
3661163,Dacota Platinum Qi2 3-i-1 magnetisk sammenleggbar lader,999,Lad enheter hvor som helst med et sammenleggbart og 360° roterende stativ,Dacota Platinum,4.1373,51,1337,charging accessorie,3661163_3661163_7_2400x2400_t_g.webp
3846217,"Dacota Platinum AM20 40 W powerbank 20 000 mAh, svart",499,Hold deg ladet på farten,Dacota Platinum,4.5659,129,1293,charging accessorie,3846217_3846217_4_2400x2400_t_g.webp
3903026,"Eletra P20 powerbank 20 000 mAh, svart",399,20 000 mAh-batteri gir rikelig med energi for langvarig bruk av enheter,ELETRA,4.6364,11,670,charging accessorie,3903026_3903026_4_1200x1200_t_g.webp
1207556,"Dacota Platinum A20, 20 W powerbank 20 000 mAh, rosa",599,Holder din laptop og mobile enhet ladet,Dacota Platinum,4.5148,1251,0,charging accessorie,1207556_1207556_5_1200x1200_t_g.webp
3615173,Apple MagSafe lader 25 W (1 M),577,MagSafe-lader,Apple,4.4667,15,0,charging accessorie,3615173_3615173_7_1200x1200_t_g.webp
4041796,Apple 20-watts USB-C-lader,249,Original 20 W lader for Apple-enheter,Apple,4.5217,46,0,charging accessorie,4041796_4041796_4_1200x1200_t_g.webp
3015658,"Samsung 25W USB-C hurtiglader uten kabel, svart",199,Samsung USB-C hurtiglader,Samsung,"{'source': '5.0', 'parsedValue': 5}",1,38,charging accessorie,3015658_3015658_4_1200x1200_t_g.webp
3568859,Apple 240 W USB-C ladekabel 2 m,399,Slitesterkt og lynraskt 240 W ladekabel,Apple,4.2,5,48,charging accessorie,3568859_3568859_3_1200x1200_t_g.webp
1577210,"Dacota Platinum 30 W USB-C GaN hurtiglader 1 port, hvit",379,"Rask, sikker og energieffektiv 30 W hurtiglader",Dacota Platinum,4.4832,1904,9999,charging accessorie,1577210_1577210_11_900x900_t_g.webp
2671640,Apple USB-C til Lightning-adapter,399,Apple USB-C-til-Lightning-adapter,Apple,4.48,25,64,charging accessorie,2671640_2671640_5_1200x1200_t_g.webp
2166122,Dacota Platinum 100 W powerbank for bærbar PC 20 000 mAh,799,Powerbank med 100 W strømforsyning for lading av bærbare PC-er og mobile enheter,Dacota Platinum,4.3968,126,199,charging accessorie,2166122_2166122_6_1200x1200_t_g.webp
3846220,"Dacota Platinum AM20 40 W powerbank 20 000 mAh, grønn",499,Hold deg ladet på farten,Dacota Platinum,4.5659,129,2102,charging accessorie,3846220_3846220_4_2400x2400_t_g.webp
2682341,"Dacota Platinum GaN hurtiglader 140 W 4 porter, hvit",899,Kompakt og kraftig 140 W GaN-hurtiglader med 4 USB-porter,Dacota Platinum,4.5943,212,436,charging accessorie,2682341_2682341_8_600x600_t_g.webp
